day,month,year,time,fluviometry_data
21,12,2016,00:00:00,24.35
22,12,2016,00:00:00,24.63
23,12,2016,00:00:00,24.92
24,12,2016,00:00:00,25.16
25,12,2016,00:00:00,25.41
26,12,2016,00:00:00,25.56
27,12,2016,00:00:00,25.75
28,12,2016,00:00:00,25.97
29,12,2016,00:00:00,26.12
30,12,2016,00:00:00,26.27
31,12,2016,00:00:00,26.59
