,Entropy,Divergency,Complexity
178,0.9998514799140693,0.00021275943930403892,0.0002127278402538309
179,0.9998497430726944,0.00021528623208036683,0.00021525388383264322
180,0.9998479953622291,0.00021782953603179152,0.00021779642493207122
181,0.9998462367681881,0.00022038938179528124,0.00022035549401167937
182,0.9998444672760509,0.0002229658000940836,0.00022293112161584746
183,0.9998426868712625,0.00022555882173798676,0.00022552333837402483
184,0.9998408955392329,0.00022816847762281974,0.00022813217500022352
185,0.9998390932653366,0.00023079479873064235,0.0002307576622932013
186,0.999837280034913,0.00023343781613239202,0.00023339983113910098
187,0.9998354558332664,0.0002360975609842679,0.00023605871250782792
188,0.9998336206456657,0.00023877406453186567,0.00023873433745717708
189,0.999831774457344,0.00024146735810830702,0.00024142673713095552
190,0.9998299172534983,0.00024417747313552245,0.00024413594276025772
191,0.9998280490192903,0.0002469044411236926,0.0002468619856628998
192,0.9998261697398455,0.00024964829367253783,0.0002496048972447016
193,0.9998242794002533,0.0002524090624712745,0.00025236470899943553
194,0.9998223779855666,0.00025518677929948613,0.00025514145250969016
195,0.9998204654808024,0.0002579814760258823,0.0002579351594456221
196,0.9998185418709402,0.0002607931846103503,0.00026074586156699933
197,0.999816607140924,0.0002636219371044926,0.00026357359072373183
198,0.9998146612756604,0.00026646776565024144,0.0002664183788544782
199,0.9998127042600188,0.0002693307024814732,0.0002692802579882523
200,0.9998107360788318,0.00027221077992357033,0.00027215926024397774
201,0.9998087567168953,0.00027510803039598416,0.00027505541783304276
202,0.999806766158967,0.0002780224864085311,0.00027796876305558884
203,0.9998047643897673,0.00028095418056560574,0.0002808993283047156
204,0.9998027513939796,0.00028390314556600685,0.00028384714606629913
205,0.9998007271562487,0.00028686941419992683,0.00028681224891597394
206,0.9997986916611815,0.0002898530193542918,0.00028979466952446404
207,0.999796644893348,0.000292853994008586,0.0002927944406534009
208,0.9997945868372783,0.0002958723712389241,0.00029581159515938596
209,0.9997925174774654,0.0002989081842156087,0.00029884616599154144
210,0.9997904367983635,0.0003019614662057128,0.0003018981861940839
211,0.9997883447843877,0.0003050322505715982,0.00030496768890483477
212,0.9997862414199153,0.0003081205707726064,0.0003080547073569032
213,0.9997841266892835,0.00031122646036489064,0.0003111592748785091
